Broad;Narrow;
30_Agricultural,_Veterinary_and_Food_Sciences;3001_Agricultural_Biotechnology;
30_Agricultural,_Veterinary_and_Food_Sciences;3002_Agriculture,_Land_and_Farm_Management;
30_Agricultural,_Veterinary_and_Food_Sciences;3003_Animal_Production;
30_Agricultural,_Veterinary_and_Food_Sciences;3004_Crop_and_Pasture_Production;
30_Agricultural,_Veterinary_and_Food_Sciences;3005_Fisheries_Sciences;
30_Agricultural,_Veterinary_and_Food_Sciences;3006_Food_Sciences;
30_Agricultural,_Veterinary_and_Food_Sciences;3007_Forestry_Sciences;
30_Agricultural,_Veterinary_and_Food_Sciences;3008_Horticultural_Production;
30_Agricultural,_Veterinary_and_Food_Sciences;3009_Veterinary_Sciences;
30_Agricultural,_Veterinary_and_Food_Sciences;3099_Other_agricultural,_veterinary_and_food_sciences;
31_Biological_Sciences;3101_Biochemistry_and_Cell_Biology;
31_Biological_Sciences;3102_Bioinformatics_and_Computational_Biology;
31_Biological_Sciences;3103_Ecology;
31_Biological_Sciences;3104_Evolutionary_Biology;
31_Biological_Sciences;3105_Genetics;
31_Biological_Sciences;3106_Industrial_Biotechnology;
31_Biological_Sciences;3107_Microbiology;
31_Biological_Sciences;3108_Plant_Biology;
31_Biological_Sciences;3109_Zoology;
31_Biological_Sciences;3199_Other_biological_sciences;
32_Biomedical_and_Clinical_Sciences;3201_Cardiovascular_Medicine_and_Haematology;
32_Biomedical_and_Clinical_Sciences;3202_Clinical_Sciences;
32_Biomedical_and_Clinical_Sciences;3203_Dentistry;
32_Biomedical_and_Clinical_Sciences;3204_Immunology;
32_Biomedical_and_Clinical_Sciences;3205_Medical_Biochemistry_and_Metabolomics;
32_Biomedical_and_Clinical_Sciences;3206_Medical_Biotechnology;
32_Biomedical_and_Clinical_Sciences;3207_Medical_Microbiology;
32_Biomedical_and_Clinical_Sciences;3208_Medical_Physiology;
32_Biomedical_and_Clinical_Sciences;3209_Neurosciences;
32_Biomedical_and_Clinical_Sciences;3210_Nutrition_and_Dietetics;
32_Biomedical_and_Clinical_Sciences;3211_Oncology_and_Carcinogenesis;
32_Biomedical_and_Clinical_Sciences;3212_Ophthalmology_and_Optometry;
32_Biomedical_and_Clinical_Sciences;3213_Paediatrics;
32_Biomedical_and_Clinical_Sciences;3214_Pharmacology_and_Pharmaceutical_Sciences;
32_Biomedical_and_Clinical_Sciences;3215_Reproductive_Medicine;
32_Biomedical_and_Clinical_Sciences;3299_Other_biomedical_and_clinical_sciences;
33_Built_Environment_and_Design;3301_Architecture;
33_Built_Environment_and_Design;3302_Building;
33_Built_Environment_and_Design;3303_Design;
33_Built_Environment_and_Design;3304_Urban_and_Regional_Planning;
33_Built_Environment_and_Design;3399_Other_built_environment_and_design;
