Broad;Narrow
1._Natural_sciences;1.1_Mathematics
1._Natural_sciences;1.2_Computer_and_information_sciences
1._Natural_sciences;1.3_Physical_sciences
1._Natural_sciences;1.4_Chemical_sciences
1._Natural_sciences;1.5_Earth_and_related_environmental_sciences
1._Natural_sciences;1.6_Biological_sciences
1._Natural_sciences;1.7_Other_natural_sciences
2._Engineering_and_technology;2.1_Civil_engineering
2._Engineering_and_technology;2.2_Electrical_engineering,_electronic_engineering,_information_engineering
2._Engineering_and_technology;2.3_Mechanical_engineering
2._Engineering_and_technology;2.4_Chemical_engineering
2._Engineering_and_technology;2.5_Materials_engineering
2._Engineering_and_technology;2.6_Medical_engineering
2._Engineering_and_technology;2.7_Environmental_engineering
2._Engineering_and_technology;2.8_Environmental_biotechnology
2._Engineering_and_technology;2.9_Industrial_biotechnology
2._Engineering_and_technology;2.10_Nano-technology
2._Engineering_and_technology;2.11_Other_engineering_and_technologies
3._Medical_and_health_sciences;3.1_Basic_medicine
3._Medical_and_health_sciences;3.2_Clinical_medicine
3._Medical_and_health_sciences;3.3_Health_sciences
3._Medical_and_health_sciences;3.4_Medical_biotechnology
3._Medical_and_health_sciences;3.5_Other_medical_science
4._Agricultural_and_veterinary_sciences;4.1_Agriculture,_forestry,_and_fisheries
4._Agricultural_and_veterinary_sciences;4.2_Animal_and_dairy_science
4._Agricultural_and_veterinary_sciences;4.3_Veterinary_science
4._Agricultural_and_veterinary_sciences;4.4_Agricultural_biotechnology
4._Agricultural_and_veterinary_sciences;4.5_Other_agricultural_sciences
5._Social_sciences;5.1_Psychology_and_cognitive_sciences
5._Social_sciences;5.2_Economics_and_business
5._Social_sciences;5.3_Education
5._Social_sciences;5.4_Sociology
5._Social_sciences;5.5_Law
5._Social_sciences;5.6_Political_science
5._Social_sciences;5.7_Social_and_economic_geography
5._Social_sciences;5.8_Media_and_communications
5._Social_sciences;5.9_Other_social_sciences
6._Humanities_and_the_arts;6.1_History_and_archaeology
6._Humanities_and_the_arts;6.2_Languages_and_literature
6._Humanities_and_the_arts;6.3_Philosophy,_ethics_and_religion
6._Humanities_and_the_arts;6.4_Arts_(arts,_history_of_arts,_performing_arts,_music)
6._Humanities_and_the_arts;6.5_Other_humanities
