id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow,citing_issns,cited_issns,citing_scimago_area,citing_scimago_category,citing_doaj_lcc,citing_doaj_subject,cited_scimago_area,cited_scimago_category,cited_doaj_lcc,cited_doaj_subject
oci:06202273568-062402051240,omid:br/06202273568,Physical Review Research [omid:br/068046277 issn:2643-1564 openalex:S4210240247],omid:br/062402051240,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2020-10-02,False,True,Incoming,['26431564'],"['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),QC1-999,Science: Physics,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:062402051676-06203916571,omid:br/062402051676,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/06203916571,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2011-11-30,True,False,Outgoing,"['00319007', '10797114']","['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:062501420933-06302831560,omid:br/062501420933,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],omid:br/06302831560,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],2014-04-30,False,True,Incoming,"['15502368', '15507998']",['03702693'],,,,,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:061502257723-06160492060,omid:br/061502257723,Advances In Mathematics [omid:br/061051114 issn:0001-8708 openalex:S122441808],omid:br/06160492060,Communications In Mathematical Physics [omid:br/0623011170 issn:0010-3616 issn:1432-0916 openalex:S100601982],2010-03,False,True,Incoming,['00018708'],"['00103616', '14320916']",Mathematics,Mathematics (miscellaneous) (Q1),,,Mathematics; Physics and Astronomy,Mathematical Physics (Q1); Statistical and Nonlinear Physics (Q1),,
oci:06402835371-06702815009,omid:br/06402835371,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],omid:br/06702815009,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],1995-10,True,False,Outgoing,['03702693'],['03702693'],Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:0640569798-061202054625,omid:br/0640569798,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/061202054625,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2022-03-09,True,False,Outgoing,"['24700010', '24700029']","['00319007', '10797114']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:061701429001-061802058249,omid:br/061701429001,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],omid:br/061802058249,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2009-03-05,True,True,Internal,"['15502368', '15507998']","['00319007', '10797114']",,,,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06110996542-06190297455,omid:br/06110996542,Analytical Chemistry [omid:br/065021405 issn:0003-2700 issn:1520-6882 openalex:S191963794],omid:br/06190297455,Frontiers In Plant Science [omid:br/061205310 issn:1664-462X openalex:S2493613807],2020-04-21,True,False,Outgoing,"['00032700', '15206882']",['1664462X'],Chemistry,Analytical Chemistry (Q1),,,Agricultural and Biological Sciences,Plant Science (Q1),SB1-1110,Agriculture: Plant culture
oci:0623090101-061901638046,omid:br/0623090101,Journal Of Biological Chemistry [omid:br/06903738 doi:10.1074/jbc issn:0021-9258 issn:1083-351X openalex:S140251998],omid:br/061901638046,EMBO Reports [omid:br/062036122 issn:1469-221X issn:1469-3178 openalex:S57252141],2020-08,False,True,Incoming,"['00219258', '1083351X']","['1469221X', '14693178']","Biochemistry, Genetics and Molecular Biology",Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1),QD415-436,Science: Chemistry: Organic chemistry: Biochemistry,"Biochemistry, Genetics and Molecular Biology",Biochemistry (Q1); Genetics (Q1); Molecular Biology (Q1),QH301-705.5,Science: Biology (General)
oci:06802225634-061301901188,omid:br/06802225634,The Journal Of Physical Chemistry A [omid:br/0621041077 issn:1089-5639 issn:1520-5215 openalex:S146709414],omid:br/061301901188,Icarus [omid:br/0611046261 issn:0019-1035 openalex:S172501725],2009-09-17,True,False,Outgoing,"['10895639', '15205215']",['00191035'],Chemistry; Medicine,Medicine (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2),,,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q2),,
