flow,citing_loc_label,cited_loc_label,weight
Outgoing,MEDICINE,MEDICINE,194645
Incoming,MEDICINE,MEDICINE,189803
Incoming,SCIENCE,SCIENCE,179003
Outgoing,SCIENCE,SCIENCE,173253
Incoming,SCIENCE,MEDICINE,109539
Outgoing,SCIENCE,MEDICINE,108999
Outgoing,MEDICINE,SCIENCE,104894
Incoming,MEDICINE,SCIENCE,103400
Incoming,TECHNOLOGY,SCIENCE,25934
Outgoing,TECHNOLOGY,SCIENCE,25187
Outgoing,SCIENCE,TECHNOLOGY,21103
Internal,SCIENCE,SCIENCE,19843
Incoming,SCIENCE,TECHNOLOGY,19119
Outgoing,AGRICULTURE,SCIENCE,16902
Outgoing,SCIENCE,AGRICULTURE,16393
Incoming,AGRICULTURE,SCIENCE,15197
Outgoing,TECHNOLOGY,MEDICINE,14604
Incoming,TECHNOLOGY,MEDICINE,14416
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,12062
Internal,MEDICINE,MEDICINE,11983
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,11809
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,11154
Incoming,SCIENCE,AGRICULTURE,10864
Incoming,AGRICULTURE,MEDICINE,10119
Outgoing,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9924
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,9483
Outgoing,AGRICULTURE,MEDICINE,9467
Outgoing,AGRICULTURE,AGRICULTURE,8852
Outgoing,MEDICINE,AGRICULTURE,8377
Outgoing,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8279
Incoming,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8271
Outgoing,TECHNOLOGY,TECHNOLOGY,7782
Outgoing,MEDICINE,TECHNOLOGY,7683
Outgoing,SOCIAL SCIENCES,SOCIAL SCIENCES,7582
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7439
Incoming,TECHNOLOGY,TECHNOLOGY,7148
Internal,MEDICINE,SCIENCE,7133
Internal,SCIENCE,MEDICINE,7028
Incoming,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6703
Outgoing,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,6644
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6497
Incoming,AGRICULTURE,AGRICULTURE,6398
Incoming,MEDICINE,TECHNOLOGY,6059
Incoming,MEDICINE,AGRICULTURE,5868
Outgoing,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,5627
Incoming,SOCIAL SCIENCES,MEDICINE,5312
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,5015
Outgoing,SOCIAL SCIENCES,MEDICINE,4925
Outgoing,MEDICINE,SOCIAL SCIENCES,4866
Outgoing,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,4709
Outgoing,SCIENCE,LANGUAGE AND LITERATURE,4654
Outgoing,POLITICAL SCIENCE,SOCIAL SCIENCES,4550
Outgoing,SCIENCE,SOCIAL SCIENCES,4514
Outgoing,EDUCATION,SOCIAL SCIENCES,4445
Incoming,EDUCATION,MEDICINE,4393
Outgoing,SOCIAL SCIENCES,SCIENCE,4388
Incoming,POLITICAL SCIENCE,MEDICINE,4350
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,4185
Outgoing,MEDICINE,EDUCATION,4154
Outgoing,SOCIAL SCIENCES,POLITICAL SCIENCE,4136
Outgoing,SOCIAL SCIENCES,EDUCATION,4135
Outgoing,MEDICINE,POLITICAL SCIENCE,4088
Outgoing,EDUCATION,MEDICINE,3991
Outgoing,POLITICAL SCIENCE,MEDICINE,3985
Incoming,SOCIAL SCIENCES,SCIENCE,3910
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,3852
Outgoing,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3783
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,3727
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,3686
Outgoing,SCIENCE,EDUCATION,3684
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,3682
Outgoing,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,3679
Outgoing,SCIENCE,POLITICAL SCIENCE,3624
Internal,TECHNOLOGY,SCIENCE,3569
Outgoing,MEDICINE,LANGUAGE AND LITERATURE,3562
Outgoing,EDUCATION,SCIENCE,3419
Outgoing,POLITICAL SCIENCE,SCIENCE,3390
Outgoing,POLITICAL SCIENCE,POLITICAL SCIENCE,3304
Outgoing,POLITICAL SCIENCE,EDUCATION,3302
Outgoing,EDUCATION,POLITICAL SCIENCE,3210
Outgoing,EDUCATION,EDUCATION,3209
Incoming,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,3197
Incoming,EDUCATION,SCIENCE,3096
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,3069
Internal,SCIENCE,TECHNOLOGY,3055
Incoming,POLITICAL SCIENCE,SCIENCE,3039
Incoming,SOCIAL SCIENCES,SOCIAL SCIENCES,3027
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,2938
Incoming,SCIENCE,SOCIAL SCIENCES,2818
Outgoing,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2768
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,2494
Incoming,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2486
Incoming,MEDICINE,SOCIAL SCIENCES,2443
Incoming,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2415
Incoming,SCIENCE,EDUCATION,2352
Incoming,SCIENCE,POLITICAL SCIENCE,2304
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,2215
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,2167
Incoming,POLITICAL SCIENCE,SOCIAL SCIENCES,2155
Incoming,EDUCATION,SOCIAL SCIENCES,2152
Incoming,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2080
Incoming,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2080
Incoming,SOCIAL SCIENCES,POLITICAL SCIENCE,2073
Incoming,SOCIAL SCIENCES,EDUCATION,2069
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,2001
Incoming,MEDICINE,EDUCATION,1990
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,1989
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,1989
Outgoing,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1978
Incoming,MEDICINE,POLITICAL SCIENCE,1976
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,1908
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,1874
Outgoing,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1870
Incoming,MEDICINE,LANGUAGE AND LITERATURE,1861
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,1770
Outgoing,TECHNOLOGY,AGRICULTURE,1757
Incoming,POLITICAL SCIENCE,POLITICAL SCIENCE,1729
Incoming,POLITICAL SCIENCE,EDUCATION,1728
Incoming,EDUCATION,POLITICAL SCIENCE,1727
Incoming,EDUCATION,EDUCATION,1726
Outgoing,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,1725
Incoming,SCIENCE,LANGUAGE AND LITERATURE,1705
Outgoing,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,1670
Incoming,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1661
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,1659
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1656
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1629
Outgoing,LANGUAGE AND LITERATURE,SCIENCE,1534
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,1520
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,1519
Outgoing,LANGUAGE AND LITERATURE,MEDICINE,1406
Outgoing,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1367
Incoming,LANGUAGE AND LITERATURE,MEDICINE,1355
Outgoing,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1296
Outgoing,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,1295
