Discipline,cited_count,citing_count,total_count
SCIENCE,402473,366831,769304
MEDICINE,80612,83742,164354
TECHNOLOGY,43266,47326,90592
SOCIAL SCIENCES,33691,50963,84654
GEOGRAPHY. ANTHROPOLOGY. RECREATION,32999,48909,81908
EDUCATION,30439,46379,76818
POLITICAL SCIENCE,30366,46317,76683
Multidisciplinary,41806,12641,54447
PHILOSOPHY. PSYCHOLOGY. RELIGION,6512,11106,17618
AGRICULTURE,6654,7852,14506
Others,7656,6583,14239
LANGUAGE AND LITERATURE,4161,7541,11702
LAW,60,118,178
FINE ARTS,79,93,172
