flow,citing_loc_label,cited_loc_label,weight
Outgoing,SCIENCE,SCIENCE,1563226
Incoming,MEDICINE,MEDICINE,1514092
Incoming,SCIENCE,SCIENCE,1375726
Outgoing,MEDICINE,MEDICINE,1308111
Outgoing,SCIENCE,MEDICINE,665292
Incoming,SCIENCE,MEDICINE,658535
Outgoing,MEDICINE,SCIENCE,626064
Incoming,MEDICINE,SCIENCE,570971
Outgoing,TECHNOLOGY,SCIENCE,274684
Outgoing,AGRICULTURE,SCIENCE,262988
Incoming,TECHNOLOGY,SCIENCE,250535
Outgoing,SCIENCE,TECHNOLOGY,234134
Outgoing,SCIENCE,AGRICULTURE,232561
Incoming,SCIENCE,TECHNOLOGY,228558
Internal,SCIENCE,SCIENCE,205615
Incoming,TECHNOLOGY,TECHNOLOGY,191658
Outgoing,TECHNOLOGY,TECHNOLOGY,187434
Incoming,AGRICULTURE,SCIENCE,183611
Incoming,SCIENCE,AGRICULTURE,174239
Outgoing,AGRICULTURE,AGRICULTURE,167223
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,165952
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,165529
Outgoing,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,141866
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,139690
Outgoing,SOCIAL SCIENCES,SOCIAL SCIENCES,131678
Incoming,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,118846
Incoming,AGRICULTURE,AGRICULTURE,117347
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,116460
Outgoing,AGRICULTURE,MEDICINE,113434
Outgoing,TECHNOLOGY,MEDICINE,113371
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,110485
Outgoing,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,106912
Incoming,TECHNOLOGY,MEDICINE,106905
Internal,MEDICINE,MEDICINE,106042
Outgoing,SCIENCE,Multidisciplinary,97610
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,95000
Outgoing,POLITICAL SCIENCE,SOCIAL SCIENCES,94444
Outgoing,EDUCATION,SOCIAL SCIENCES,94442
Outgoing,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,93449
Outgoing,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,93416
Incoming,AGRICULTURE,MEDICINE,93175
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,93107
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,93020
Outgoing,SOCIAL SCIENCES,EDUCATION,91477
Outgoing,SOCIAL SCIENCES,POLITICAL SCIENCE,91419
Incoming,SCIENCE,Multidisciplinary,84546
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,83696
Outgoing,EDUCATION,EDUCATION,80905
Outgoing,POLITICAL SCIENCE,EDUCATION,80873
Outgoing,EDUCATION,POLITICAL SCIENCE,80860
Outgoing,POLITICAL SCIENCE,POLITICAL SCIENCE,80836
Outgoing,MEDICINE,AGRICULTURE,79886
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,77657
Outgoing,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,77571
Outgoing,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,73370
Incoming,SOCIAL SCIENCES,SOCIAL SCIENCES,73349
Incoming,MEDICINE,TECHNOLOGY,70275
Outgoing,MEDICINE,TECHNOLOGY,66924
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,66160
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,65741
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,65227
Incoming,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,65178
Incoming,MEDICINE,AGRICULTURE,64097
Outgoing,SOCIAL SCIENCES,SCIENCE,63682
Outgoing,MEDICINE,Multidisciplinary,62384
Incoming,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,59263
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,58726
Outgoing,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,58139
Incoming,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,56849
Incoming,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,56762
Outgoing,SCIENCE,SOCIAL SCIENCES,55295
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,54848
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,54799
Incoming,MEDICINE,Multidisciplinary,54356
Incoming,POLITICAL SCIENCE,SOCIAL SCIENCES,53915
Incoming,EDUCATION,SOCIAL SCIENCES,53770
Internal,SCIENCE,MEDICINE,53324
Internal,MEDICINE,SCIENCE,53018
Outgoing,Multidisciplinary,SCIENCE,52357
Incoming,SOCIAL SCIENCES,EDUCATION,52129
Incoming,SOCIAL SCIENCES,POLITICAL SCIENCE,52090
Incoming,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,52025
Incoming,SOCIAL SCIENCES,MEDICINE,51645
Outgoing,EDUCATION,SCIENCE,51234
Incoming,Multidisciplinary,MEDICINE,51009
Outgoing,POLITICAL SCIENCE,SCIENCE,50632
Outgoing,SOCIAL SCIENCES,MEDICINE,50272
Incoming,SOCIAL SCIENCES,SCIENCE,49276
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,46886
Incoming,EDUCATION,MEDICINE,46764
Incoming,POLITICAL SCIENCE,MEDICINE,46266
Outgoing,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,46172
Incoming,POLITICAL SCIENCE,EDUCATION,45973
Incoming,POLITICAL SCIENCE,POLITICAL SCIENCE,45936
Incoming,EDUCATION,EDUCATION,45897
Incoming,EDUCATION,POLITICAL SCIENCE,45841
Incoming,SCIENCE,SOCIAL SCIENCES,45692
Incoming,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,45383
Outgoing,MEDICINE,SOCIAL SCIENCES,45294
