Discipline,cited_count,citing_count,total_count
SCIENCE,3170898,3557051,6727949
MEDICINE,2995492,2716909,5712401
GEOGRAPHY. ANTHROPOLOGY. RECREATION,644412,982595,1627007
TECHNOLOGY,740597,844385,1584982
AGRICULTURE,540927,781457,1322384
SOCIAL SCIENCES,418510,693976,1112486
EDUCATION,345610,581189,926799
POLITICAL SCIENCE,345181,580491,925672
PHILOSOPHY. PSYCHOLOGY. RELIGION,278569,401305,679874
Multidisciplinary,242640,171292,413932
Others,137918,159712,297630
LANGUAGE AND LITERATURE,125195,163030,288225
FINE ARTS,2194,1867,4061
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,806,816,1622
LAW,525,120,645
AUXILIARY SCIENCES OF HISTORY,183,425,608
GENERAL WORKS,116,187,303
MUSIC AND BOOKS ON MUSIC,4,117,121
