Discipline,cited_count,citing_count,total_count
SCIENCE,3127821,3522137,6649958
MEDICINE,2974703,2682452,5657155
GEOGRAPHY. ANTHROPOLOGY. RECREATION,670033,986353,1656386
TECHNOLOGY,723158,841920,1565078
AGRICULTURE,543070,772599,1315669
SOCIAL SCIENCES,444638,707527,1152165
EDUCATION,366814,589718,956532
POLITICAL SCIENCE,365700,588148,953848
PHILOSOPHY. PSYCHOLOGY. RELIGION,279119,401405,680524
Multidisciplinary,238055,166069,404124
Others,139925,162863,302788
LANGUAGE AND LITERATURE,128296,165089,293385
FINE ARTS,2194,2006,4200
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,800,814,1614
LAW,657,147,804
AUXILIARY SCIENCES OF HISTORY,131,422,553
GENERAL WORKS,121,187,308
MUSIC AND BOOKS ON MUSIC,4,117,121
