flow,citing_loc_label,cited_loc_label,weight
Incoming,MEDICINE,MEDICINE,2779814
Outgoing,MEDICINE,MEDICINE,2126118
Incoming,SCIENCE,SCIENCE,1623501
Outgoing,SCIENCE,SCIENCE,1513555
Incoming,SCIENCE,MEDICINE,1240948
Incoming,MEDICINE,SCIENCE,1213761
Outgoing,SCIENCE,MEDICINE,1022623
Outgoing,MEDICINE,SCIENCE,1013719
Outgoing,AGRICULTURE,SCIENCE,275963
Incoming,AGRICULTURE,SCIENCE,246479
Outgoing,SCIENCE,AGRICULTURE,241374
Incoming,TECHNOLOGY,SCIENCE,211699
Incoming,SCIENCE,AGRICULTURE,208771
Internal,MEDICINE,MEDICINE,203678
Outgoing,TECHNOLOGY,SCIENCE,186197
Internal,SCIENCE,SCIENCE,176823
Outgoing,AGRICULTURE,AGRICULTURE,169206
Incoming,SCIENCE,Multidisciplinary,165239
Incoming,AGRICULTURE,MEDICINE,149896
Outgoing,SCIENCE,TECHNOLOGY,148979
Incoming,SCIENCE,TECHNOLOGY,148935
Outgoing,AGRICULTURE,MEDICINE,148521
Incoming,TECHNOLOGY,MEDICINE,147276
Incoming,MEDICINE,Multidisciplinary,141701
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,140770
Incoming,AGRICULTURE,AGRICULTURE,136967
Outgoing,SCIENCE,Multidisciplinary,136893
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,134995
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,133320
Outgoing,MEDICINE,Multidisciplinary,113414
Outgoing,TECHNOLOGY,MEDICINE,111115
Outgoing,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,109541
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,104977
Internal,SCIENCE,MEDICINE,99044
Outgoing,MEDICINE,AGRICULTURE,98734
Incoming,MEDICINE,AGRICULTURE,97359
Internal,MEDICINE,SCIENCE,97053
Incoming,Multidisciplinary,MEDICINE,94669
Incoming,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,94208
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,93242
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,86383
Outgoing,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,83399
Incoming,Multidisciplinary,SCIENCE,80573
Incoming,SOCIAL SCIENCES,MEDICINE,77769
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,75934
Outgoing,Multidisciplinary,SCIENCE,74060
Outgoing,MEDICINE,Others,71472
Incoming,TECHNOLOGY,TECHNOLOGY,70669
Outgoing,SOCIAL SCIENCES,SOCIAL SCIENCES,70453
Incoming,EDUCATION,MEDICINE,70449
Incoming,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,69839
Incoming,POLITICAL SCIENCE,MEDICINE,69803
Outgoing,MEDICINE,TECHNOLOGY,66289
Outgoing,TECHNOLOGY,TECHNOLOGY,65918
Outgoing,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,65108
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,61956
Outgoing,Multidisciplinary,MEDICINE,61369
Incoming,MEDICINE,Others,59431
Incoming,Others,MEDICINE,58593
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,58500
Outgoing,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,58114
Incoming,MEDICINE,TECHNOLOGY,57836
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,54493
Outgoing,EDUCATION,SOCIAL SCIENCES,53403
Outgoing,POLITICAL SCIENCE,SOCIAL SCIENCES,53395
Outgoing,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,52153
Outgoing,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,52124
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,51892
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,51822
Incoming,SOCIAL SCIENCES,SCIENCE,50579
Outgoing,SOCIAL SCIENCES,EDUCATION,50138
Outgoing,SOCIAL SCIENCES,POLITICAL SCIENCE,50112
Outgoing,MEDICINE,SOCIAL SCIENCES,48349
Outgoing,SOCIAL SCIENCES,SCIENCE,47056
Outgoing,SOCIAL SCIENCES,MEDICINE,46379
Outgoing,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,45500
Outgoing,POLITICAL SCIENCE,EDUCATION,45365
Outgoing,EDUCATION,EDUCATION,45364
Outgoing,POLITICAL SCIENCE,POLITICAL SCIENCE,45346
Outgoing,EDUCATION,POLITICAL SCIENCE,45342
Incoming,EDUCATION,SCIENCE,44228
Incoming,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,44066
Incoming,POLITICAL SCIENCE,SCIENCE,43681
Incoming,SOCIAL SCIENCES,SOCIAL SCIENCES,43356
Outgoing,MEDICINE,EDUCATION,42291
Incoming,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,42192
Outgoing,MEDICINE,POLITICAL SCIENCE,41781
Outgoing,EDUCATION,MEDICINE,41262
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,41216
Outgoing,SCIENCE,SOCIAL SCIENCES,40786
Outgoing,POLITICAL SCIENCE,MEDICINE,40731
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,40139
Outgoing,EDUCATION,SCIENCE,38918
Outgoing,Others,MEDICINE,38797
Outgoing,POLITICAL SCIENCE,SCIENCE,38442
Incoming,MEDICINE,SOCIAL SCIENCES,37195
Incoming,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,36668
Incoming,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,36637
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,35744
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,35710
Incoming,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,35034
Incoming,SCIENCE,SOCIAL SCIENCES,35005
Incoming,POLITICAL SCIENCE,SOCIAL SCIENCES,33520
Incoming,EDUCATION,SOCIAL SCIENCES,33482
Incoming,SOCIAL SCIENCES,EDUCATION,33247
Incoming,SOCIAL SCIENCES,POLITICAL SCIENCE,33226
Incoming,MEDICINE,EDUCATION,32909
Outgoing,SCIENCE,EDUCATION,32796
Incoming,MEDICINE,POLITICAL SCIENCE,32500
Outgoing,SCIENCE,POLITICAL SCIENCE,32349
Outgoing,SCIENCE,Others,32223
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,31798
Outgoing,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,31590
Incoming,POLITICAL SCIENCE,EDUCATION,29562
Incoming,POLITICAL SCIENCE,POLITICAL SCIENCE,29549
Incoming,EDUCATION,EDUCATION,29524
Incoming,EDUCATION,POLITICAL SCIENCE,29509
Incoming,SCIENCE,EDUCATION,29209
Incoming,SCIENCE,POLITICAL SCIENCE,28914
Incoming,AGRICULTURE,Multidisciplinary,28545
Incoming,Others,SCIENCE,28227
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,27935
Internal,AGRICULTURE,SCIENCE,25870
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,25492
Incoming,SCIENCE,Others,25052
Incoming,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,24778
Internal,SCIENCE,AGRICULTURE,24409
Incoming,TECHNOLOGY,AGRICULTURE,24112
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,23910
Outgoing,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,23617
Outgoing,AGRICULTURE,Multidisciplinary,23363
Incoming,LANGUAGE AND LITERATURE,MEDICINE,23139
Internal,TECHNOLOGY,SCIENCE,23081
Internal,SCIENCE,TECHNOLOGY,22432
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,22281
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,22041
Outgoing,MEDICINE,LANGUAGE AND LITERATURE,21283
Outgoing,Others,SCIENCE,21122
Outgoing,TECHNOLOGY,AGRICULTURE,20916
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,19712
Incoming,Multidisciplinary,Multidisciplinary,18552
Outgoing,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,18263
Internal,AGRICULTURE,AGRICULTURE,18147
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,17132
Outgoing,AGRICULTURE,TECHNOLOGY,17105
Outgoing,Others,Others,17039
Outgoing,SCIENCE,LANGUAGE AND LITERATURE,16628
Outgoing,SOCIAL SCIENCES,AGRICULTURE,16569
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,16468
