Discipline,cited_count,citing_count,total_count
MEDICINE,5289898,4146138,9436036
SCIENCE,4086841,3723831,7810672
AGRICULTURE,627026,800925,1427951
GEOGRAPHY. ANTHROPOLOGY. RECREATION,504168,677126,1181294
TECHNOLOGY,396944,509075,906019
SOCIAL SCIENCES,291709,415143,706852
Multidisciplinary,424489,209096,633585
EDUCATION,248918,355710,604628
POLITICAL SCIENCE,247855,354379,602234
PHILOSOPHY. PSYCHOLOGY. RELIGION,157855,216821,374676
Others,144957,121460,266417
LANGUAGE AND LITERATURE,72274,100642,172916
FINE ARTS,3867,1518,5385
LAW,1231,591,1822
GENERAL WORKS,433,317,750
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,306,311,617
AUXILIARY SCIENCES OF HISTORY,131,226,357
MILITARY SCIENCE,46,76,122
MUSIC AND BOOKS ON MUSIC,0,67,67
