flow,citing_loc_label,cited_loc_label,weight
Outgoing,SCIENCE,SCIENCE,1567128
Incoming,SCIENCE,SCIENCE,1493696
Incoming,MEDICINE,MEDICINE,1450801
Outgoing,MEDICINE,MEDICINE,1394335
Outgoing,SCIENCE,MEDICINE,687027
Outgoing,MEDICINE,SCIENCE,668153
Incoming,MEDICINE,SCIENCE,646629
Incoming,SCIENCE,MEDICINE,637596
Outgoing,TECHNOLOGY,SCIENCE,243515
Outgoing,AGRICULTURE,SCIENCE,242922
Incoming,TECHNOLOGY,SCIENCE,230222
Outgoing,SCIENCE,AGRICULTURE,224291
Outgoing,SCIENCE,TECHNOLOGY,205815
Incoming,TECHNOLOGY,TECHNOLOGY,201791
Internal,SCIENCE,SCIENCE,201544
Incoming,SCIENCE,TECHNOLOGY,195087
Outgoing,TECHNOLOGY,TECHNOLOGY,189096
Incoming,AGRICULTURE,SCIENCE,176899
Outgoing,AGRICULTURE,AGRICULTURE,164230
Incoming,SCIENCE,Multidisciplinary,152486
Incoming,SCIENCE,AGRICULTURE,149324
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,142951
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,139040
Outgoing,SCIENCE,Multidisciplinary,122699
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,120887
Outgoing,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,120835
Internal,MEDICINE,MEDICINE,116818
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,107940
Incoming,MEDICINE,Multidisciplinary,107513
Incoming,AGRICULTURE,AGRICULTURE,107302
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,105083
Outgoing,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,102191
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,99977
Outgoing,AGRICULTURE,MEDICINE,96617
Incoming,TECHNOLOGY,MEDICINE,89935
Incoming,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,89905
Outgoing,TECHNOLOGY,MEDICINE,89330
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,88065
Outgoing,MEDICINE,Multidisciplinary,82204
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,79592
Outgoing,SOCIAL SCIENCES,SOCIAL SCIENCES,78505
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,75503
Outgoing,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,73964
Incoming,AGRICULTURE,MEDICINE,73877
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,72750
Outgoing,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,71740
Outgoing,MEDICINE,AGRICULTURE,69798
Outgoing,Multidisciplinary,SCIENCE,69387
Incoming,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,66427
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,65886
Outgoing,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,65809
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,65790
Outgoing,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,65592
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,63185
Outgoing,EDUCATION,SOCIAL SCIENCES,62264
Outgoing,POLITICAL SCIENCE,SOCIAL SCIENCES,62059
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,59866
Outgoing,SOCIAL SCIENCES,EDUCATION,59488
Internal,SCIENCE,MEDICINE,59416
Outgoing,SOCIAL SCIENCES,POLITICAL SCIENCE,59408
Internal,MEDICINE,SCIENCE,59165
Incoming,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,57334
Incoming,Multidisciplinary,SCIENCE,56691
Outgoing,MEDICINE,TECHNOLOGY,55143
Outgoing,EDUCATION,EDUCATION,55091
Outgoing,EDUCATION,POLITICAL SCIENCE,55023
