Discipline,cited_count,citing_count,total_count
SCIENCE,3249518,3475269,6724787
MEDICINE,2854728,2876987,5731715
GEOGRAPHY. ANTHROPOLOGY. RECREATION,557630,827290,1384920
TECHNOLOGY,636729,743320,1380049
AGRICULTURE,472382,711974,1184356
PHILOSOPHY. PSYCHOLOGY. RELIGION,356780,524383,881163
SOCIAL SCIENCES,338819,497573,836392
EDUCATION,288110,446546,734656
POLITICAL SCIENCE,287453,445166,732619
Multidisciplinary,404796,217516,622312
LANGUAGE AND LITERATURE,105782,155711,261493
Others,124541,136223,260764
FINE ARTS,3630,2180,5810
AUXILIARY SCIENCES OF HISTORY,245,372,617
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,258,256,514
LAW,73,191,264
GENERAL WORKS,98,33,131
MILITARY SCIENCE,13,36,49
