Discipline,cited_count,citing_count,total_count
SCIENCE,3248289,3473353,6721642
MEDICINE,2841492,2864034,5705526
GEOGRAPHY. ANTHROPOLOGY. RECREATION,556575,825657,1382232
TECHNOLOGY,636725,743292,1380017
AGRICULTURE,472137,711507,1183644
PHILOSOPHY. PSYCHOLOGY. RELIGION,356183,523505,879688
SOCIAL SCIENCES,338020,496581,834601
EDUCATION,287227,445312,732539
POLITICAL SCIENCE,286570,443932,730502
Multidisciplinary,404687,217441,622128
Others,129198,141850,271048
LANGUAGE AND LITERATURE,105420,155390,260810
FINE ARTS,3630,2180,5810
AUXILIARY SCIENCES OF HISTORY,245,372,617
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,258,256,514
LAW,73,191,264
GENERAL WORKS,98,33,131
MILITARY SCIENCE,13,36,49
