flow,citing_loc_label,cited_loc_label,weight
Incoming,MEDICINE,MEDICINE,1290577
Outgoing,MEDICINE,MEDICINE,1105225
Outgoing,SCIENCE,SCIENCE,1097376
Incoming,SCIENCE,SCIENCE,959884
Incoming,SCIENCE,MEDICINE,641919
Incoming,MEDICINE,SCIENCE,622181
Outgoing,SCIENCE,MEDICINE,595481
Outgoing,MEDICINE,SCIENCE,585375
Outgoing,AGRICULTURE,SCIENCE,208289
Outgoing,SCIENCE,AGRICULTURE,192225
Outgoing,AGRICULTURE,AGRICULTURE,148289
Outgoing,TECHNOLOGY,SCIENCE,147375
Incoming,TECHNOLOGY,SCIENCE,138507
Incoming,AGRICULTURE,SCIENCE,135462
Internal,SCIENCE,SCIENCE,124207
Incoming,SCIENCE,AGRICULTURE,123523
Outgoing,SCIENCE,TECHNOLOGY,117350
Incoming,SCIENCE,TECHNOLOGY,115139
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,110784
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,97523
Outgoing,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,94483
Incoming,SCIENCE,Multidisciplinary,91289
Incoming,AGRICULTURE,AGRICULTURE,90490
Outgoing,SCIENCE,Multidisciplinary,85224
Internal,MEDICINE,MEDICINE,85040
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,84196
Incoming,MEDICINE,Multidisciplinary,79896
Outgoing,AGRICULTURE,MEDICINE,79041
Incoming,TECHNOLOGY,MEDICINE,72396
Outgoing,TECHNOLOGY,MEDICINE,71587
Outgoing,SOCIAL SCIENCES,SOCIAL SCIENCES,70670
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,68244
Outgoing,MEDICINE,Multidisciplinary,67553
Incoming,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,67002
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,65230
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,63950
Incoming,TECHNOLOGY,TECHNOLOGY,63936
Incoming,AGRICULTURE,MEDICINE,62228
Outgoing,MEDICINE,AGRICULTURE,59134
Outgoing,TECHNOLOGY,TECHNOLOGY,59016
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,58004
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,57586
Outgoing,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,56439
Outgoing,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,56296
Outgoing,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,55413
Internal,SCIENCE,MEDICINE,51616
Internal,MEDICINE,SCIENCE,51176
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,AGRICULTURE,50727
Outgoing,EDUCATION,SOCIAL SCIENCES,49088
Outgoing,POLITICAL SCIENCE,SOCIAL SCIENCES,49039
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,48890
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,48826
Outgoing,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,48636
Outgoing,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,48570
Outgoing,SOCIAL SCIENCES,EDUCATION,47847
Outgoing,SOCIAL SCIENCES,POLITICAL SCIENCE,47817
Outgoing,Multidisciplinary,SCIENCE,47091
Outgoing,AGRICULTURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,45941
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,45283
Incoming,Multidisciplinary,MEDICINE,44292
