Discipline,cited_count,citing_count,total_count
SCIENCE,2317628,2547898,4865526
MEDICINE,2525171,2276756,4801927
AGRICULTURE,378624,600179,978803
GEOGRAPHY. ANTHROPOLOGY. RECREATION,365160,603707,968867
TECHNOLOGY,303844,393525,697369
SOCIAL SCIENCES,213665,378027,591692
EDUCATION,173448,314457,487905
POLITICAL SCIENCE,172985,313992,486977
PHILOSOPHY. PSYCHOLOGY. RELIGION,156478,260678,417156
Multidisciplinary,244531,143358,387889
Others,89107,106579,195686
LANGUAGE AND LITERATURE,49966,95311,145277
FINE ARTS,2094,1501,3595
GENERAL WORKS,369,491,860
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,305,501,806
AUXILIARY SCIENCES OF HISTORY,106,325,431
LAW,176,99,275
MILITARY SCIENCE,22,73,95
