Discipline,cited_count,citing_count,total_count
SCIENCE,2316321,2545958,4862279
MEDICINE,2515830,2267258,4783088
AGRICULTURE,378426,599622,978048
GEOGRAPHY. ANTHROPOLOGY. RECREATION,364318,601883,966201
TECHNOLOGY,303482,392993,696475
SOCIAL SCIENCES,213205,377350,590555
EDUCATION,173007,313754,486761
POLITICAL SCIENCE,172544,313289,485833
PHILOSOPHY. PSYCHOLOGY. RELIGION,156212,260313,416525
Multidisciplinary,244444,143256,387700
Others,96144,113800,209944
LANGUAGE AND LITERATURE,49867,95245,145112
FINE ARTS,2092,1500,3592
GENERAL WORKS,369,491,860
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,305,501,806
AUXILIARY SCIENCES OF HISTORY,106,325,431
LAW,169,99,268
MILITARY SCIENCE,22,73,95
