flow,citing_loc_label,cited_loc_label,weight
Outgoing,MEDICINE,MEDICINE,187393
Incoming,MEDICINE,MEDICINE,181896
Incoming,SCIENCE,SCIENCE,169500
Outgoing,SCIENCE,SCIENCE,164261
Outgoing,SCIENCE,MEDICINE,100835
Incoming,SCIENCE,MEDICINE,100757
Outgoing,MEDICINE,SCIENCE,97243
Incoming,MEDICINE,SCIENCE,94875
Incoming,TECHNOLOGY,SCIENCE,25365
Outgoing,TECHNOLOGY,SCIENCE,24552
Outgoing,SCIENCE,TECHNOLOGY,20691
Internal,SCIENCE,SCIENCE,19260
Incoming,SCIENCE,TECHNOLOGY,18811
Outgoing,AGRICULTURE,SCIENCE,16391
Outgoing,SCIENCE,AGRICULTURE,15555
Incoming,AGRICULTURE,SCIENCE,14449
Outgoing,TECHNOLOGY,MEDICINE,14115
Incoming,TECHNOLOGY,MEDICINE,13990
Incoming,SCIENCE,Multidisciplinary,12469
Outgoing,SCIENCE,Multidisciplinary,12315
Incoming,MEDICINE,Multidisciplinary,11660
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,11635
Internal,MEDICINE,MEDICINE,11454
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,11305
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,10807
Outgoing,MEDICINE,Multidisciplinary,10498
Incoming,SCIENCE,AGRICULTURE,10457
Incoming,AGRICULTURE,MEDICINE,9494
Outgoing,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9472
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,9199
Outgoing,AGRICULTURE,MEDICINE,9025
Outgoing,AGRICULTURE,AGRICULTURE,8852
Incoming,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7948
Outgoing,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7930
Outgoing,TECHNOLOGY,TECHNOLOGY,7778
