Discipline,cited_count,citing_count,total_count
SCIENCE,563809,575448,1139257
MEDICINE,568491,563860,1132351
TECHNOLOGY,65870,94507,160377
GEOGRAPHY. ANTHROPOLOGY. RECREATION,51025,76618,127643
AGRICULTURE,45972,68243,114215
SOCIAL SCIENCES,26315,53114,79429
Multidisciplinary,47086,26459,73545
POLITICAL SCIENCE,20547,40919,61466
EDUCATION,20641,40172,60813
PHILOSOPHY. PSYCHOLOGY. RELIGION,10275,28137,38412
Others,12389,13712,26101
LANGUAGE AND LITERATURE,5257,17863,23120
FINE ARTS,1215,550,1765
LAW,320,323,643
AUXILIARY SCIENCES OF HISTORY,53,27,80
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,0,25,25
GENERAL WORKS,6,0,6
