Discipline,cited_count,citing_count,total_count
SCIENCE,367821,374670,742491
MEDICINE,366941,362755,729696
TECHNOLOGY,42524,61205,103729
GEOGRAPHY. ANTHROPOLOGY. RECREATION,36152,51699,87851
AGRICULTURE,31219,44099,75318
SOCIAL SCIENCES,18970,36155,55125
Multidisciplinary,30877,17161,48038
POLITICAL SCIENCE,14807,27548,42355
EDUCATION,14873,27038,41911
PHILOSOPHY. PSYCHOLOGY. RELIGION,6952,18792,25744
Others,8516,9183,17699
LANGUAGE AND LITERATURE,3514,11926,15440
FINE ARTS,828,376,1204
LAW,289,273,562
AUXILIARY SCIENCES OF HISTORY,36,21,57
BIBLIOGRAPHY. LIBRARY SCIENCE. INFORMATION RESOURCES,0,9,9
GENERAL WORKS,6,0,6
