rank,omid,doi,pmid,isbn,pub_date,citation_count
1,omid:br/061702622356,doi:10.1038/s41598-016-0001-8,pmid:28442746,,2016-12,13178
2,omid:br/06404322937,doi:10.1103/physrevd.98.030001,,,2014-08,12340
3,omid:br/061903892263,doi:10.1103/physrevlett.116.061102,pmid:26918975,,2017-02-05,7761
4,omid:br/06302832238,doi:10.1016/j.physletb.2012.08.021,,,2012-09,6318
5,omid:br/06302833102,doi:10.1016/j.physletb.2004.06.001,,,2004-07,3642
6,omid:br/06803499835,doi:10.1088/0954-3899/33/1/001,,,2006-07-01,3548
7,omid:br/061801843186,doi:10.1038/nphoton.2011.35,,,2011-03-31,2763
8,omid:br/061801842692,doi:10.1038/nphoton.2012.262,,,2012-11,2728
9,omid:br/06160717241,doi:10.18154/rwth-2015-03942,pmid:25707682,,2015,2474
10,omid:br/062501605719,doi:10.1145/3236009,,,2019-09-30,2294
