ror,legal_name,country_code,country_name,count,italian_institution,year_block,direction
https://ror.org/000063q30,Techniques of Informatics and Microelectronics for Integrated Systems Architecture,FR,France,23,UNIBO,2006-2010,incoming
https://ror.org/0000n5x09,Ingénierie des Agropolymères et Technologies Emergentes,FR,France,4,UNIBO,2006-2010,incoming
https://ror.org/0000pmw59,Institute of Vertebrate Paleontology and Paleoanthropology,CN,China,1,UNIBO,2006-2010,incoming
https://ror.org/00013q465,Pontificia Universidad Católica del Perú,PE,Peru,380,UNIBO,2006-2010,incoming
https://ror.org/0001fmy77,University of Macerata,IT,Italy,208,UNIBO,2006-2010,incoming
https://ror.org/0001ke483,St George's Hospital,GB,United Kingdom,192,UNIBO,2006-2010,incoming
https://ror.org/00029be75,Institute of Biology of Komi Scientific Centre,RU,Russia,3,UNIBO,2006-2010,incoming
https://ror.org/0002cnv45,École Nationale Supérieure des Arts et Industries Textiles,FR,France,1,UNIBO,2006-2010,incoming
https://ror.org/0002pcv65,Universidad Nacional de Río Cuarto,AR,Argentina,32,UNIBO,2006-2010,incoming
https://ror.org/00033n668,University for Business and Technology,XK,Kosovo,1,UNIBO,2006-2010,incoming
https://ror.org/0003e4m70,Hull York Medical School,GB,United Kingdom,18,UNIBO,2006-2010,incoming
https://ror.org/0003ege03,Centre de Recherches sur les Macromolécules Végétales,FR,France,7,UNIBO,2006-2010,incoming
https://ror.org/0003ewr82,Bundelkhand University,IN,India,2,UNIBO,2006-2010,incoming
https://ror.org/0003zy991,York Hospital,GB,United Kingdom,45,UNIBO,2006-2010,incoming
https://ror.org/0004gzs06,Hokuyukai Neurology Hospital,JP,Japan,1,UNIBO,2006-2010,incoming
https://ror.org/0004r6b85,University of Applied Sciences Biberach,DE,Germany,2,UNIBO,2006-2010,incoming
https://ror.org/0004vyj87,"Arab Academy for Science, Technology, and Maritime Transport",EG,Egypt,5,UNIBO,2006-2010,incoming
https://ror.org/0005r2j17,Institut Agronomique Méditerranéen de Montpellier,FR,France,2,UNIBO,2006-2010,incoming
https://ror.org/0005vby86,Yonsei Cancer Hospital,KR,South Korea,12,UNIBO,2006-2010,incoming
https://ror.org/0005w8d69,Università di Camerino,IT,Italy,1181,UNIBO,2006-2010,incoming
https://ror.org/0005yy970,Federal University of Health Sciences Azare,NG,Nigeria,1,UNIBO,2006-2010,incoming
https://ror.org/000628g58,Tata Sons (India),IN,India,9,UNIBO,2006-2010,incoming
https://ror.org/0006swh35,First Affiliated Hospital of Xiamen University,CN,China,7,UNIBO,2006-2010,incoming
https://ror.org/00073tb80,State Key Laboratory of Pollution Control and Resource Reuse,CN,China,11,UNIBO,2006-2010,incoming
https://ror.org/0007tes83,Tominaga hospital,JP,Japan,1,UNIBO,2006-2010,incoming
https://ror.org/000849h34,Liverpool Heart and Chest Hospital,GB,United Kingdom,4,UNIBO,2006-2010,incoming
https://ror.org/00088z429,Kobe Pharmaceutical University,JP,Japan,14,UNIBO,2006-2010,incoming
https://ror.org/0008s4w86,Piedmont Atlanta Hospital,US,United States,4,UNIBO,2006-2010,incoming
https://ror.org/0008wzh48,Royal Marsden NHS Foundation Trust,GB,United Kingdom,252,UNIBO,2006-2010,incoming
https://ror.org/0008xqs48,Institut d'Investigació Biomédica de Bellvitge,ES,Spain,89,UNIBO,2006-2010,incoming
https://ror.org/000917t60,Autonomous University of San Luis Potosí,MX,Mexico,1079,UNIBO,2006-2010,incoming
https://ror.org/00096h502,Native American Cancer Research,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/00097mb19,Japan Science and Technology Agency,JP,Japan,535,UNIBO,2006-2010,incoming
https://ror.org/0009eea46,State Key Laboratory of Virtual Reality Technology and Systems,CN,China,2,UNIBO,2006-2010,incoming
https://ror.org/0009s9p66,BioMed Central (United Kingdom),GB,United Kingdom,13,UNIBO,2006-2010,incoming
https://ror.org/0009t4v78,Anglia Ruskin University,GB,United Kingdom,15,UNIBO,2006-2010,incoming
https://ror.org/0009wsb17,A N Bach Institute of Biochemistry,RU,Russia,7,UNIBO,2006-2010,incoming
https://ror.org/000a1tn51,Health Effects Institute,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000a2sx58,Centre for European Policy Studies,BE,Belgium,2,UNIBO,2006-2010,incoming
https://ror.org/000apqb71,Philadelphia Fire Department,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000axn811,Audencia Business School,FR,France,5,UNIBO,2006-2010,incoming
https://ror.org/000b3v524,Southeastern Fruit and Tree Nut Research Laboratory,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000b7ms85,Zhongkai University of Agriculture and Engineering,CN,China,2,UNIBO,2006-2010,incoming
https://ror.org/000bmd763,CHA Medical Center,KR,South Korea,3,UNIBO,2006-2010,incoming
https://ror.org/000bxzc63,Max Planck Institute for Medical Research,DE,Germany,4,UNIBO,2006-2010,incoming
https://ror.org/000c39f30,Al Ain Hospital,AE,United Arab Emirates,3,UNIBO,2006-2010,incoming
https://ror.org/000ch3x42,United States Olympic & Paralympic Committee,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000crk757,St. Vincent's Birmingham,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000cvk368,Ohio Valley Medical Center,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000cyem11,Donald Danforth Plant Science Center,US,United States,3,UNIBO,2006-2010,incoming
https://ror.org/000cytz87,Weatherford (Switzerland),CH,Switzerland,1,UNIBO,2006-2010,incoming
https://ror.org/000d5zy28,Institut de Chimie Radicalaire,FR,France,3,UNIBO,2006-2010,incoming
https://ror.org/000dswa46,W. M. Keck Foundation,US,United States,3,UNIBO,2006-2010,incoming
https://ror.org/000ed3w25,St Vincent's Hospital Sydney,AU,Australia,82,UNIBO,2006-2010,incoming
https://ror.org/000ehr937,Laboratoire de Météorologie Dynamique,FR,France,62,UNIBO,2006-2010,incoming
https://ror.org/000ep5m48,Instituto de Salud Pública de Navarra,ES,Spain,16,UNIBO,2006-2010,incoming
https://ror.org/000es9t33,Lomonosov Moscow State University Marine Research Center LLC,RU,Russia,1,UNIBO,2006-2010,incoming
https://ror.org/000fvwg06,Queen Sirikit National Institute of Child Health,TH,Thailand,2,UNIBO,2006-2010,incoming
https://ror.org/000fxgx19,SUNY Polytechnic Institute,US,United States,6,UNIBO,2006-2010,incoming
https://ror.org/000g0zm60,University of Jendouba,TN,Tunisia,1,UNIBO,2006-2010,incoming
https://ror.org/000gm1k91,John Wiley & Sons (Germany),DE,Germany,1,UNIBO,2006-2010,incoming
https://ror.org/000h6jb29,Helmholtz Centre for Environmental Research,DE,Germany,43,UNIBO,2006-2010,incoming
https://ror.org/000hdh770,Dalarna University,SE,Sweden,2,UNIBO,2006-2010,incoming
https://ror.org/000hzy098,Saint Petersburg State Pediatric Medical University,RU,Russia,3,UNIBO,2006-2010,incoming
https://ror.org/000k1q888,Netherlands Institute for Radio Astronomy,NL,The Netherlands,810,UNIBO,2006-2010,incoming
https://ror.org/000ke5995,Western Galilee Hospital,IL,Israel,13,UNIBO,2006-2010,incoming
https://ror.org/000kkaz97,Odesa State Agrarian University,UA,Ukraine,1,UNIBO,2006-2010,incoming
https://ror.org/000kkgk42,Instituto de Oncología y Radiobiología,CU,Cuba,11,UNIBO,2006-2010,incoming
https://ror.org/000m4se28,Aerospace Research Institute,IR,Iran,1,UNIBO,2006-2010,incoming
https://ror.org/000n9zg48,Groupe de Recherche sur le Handicap Ventilatoire et Neurologique,FR,France,6,UNIBO,2006-2010,incoming
https://ror.org/000nbq540,State Key Laboratory of Surface Physics,CN,China,1,UNIBO,2006-2010,incoming
https://ror.org/000ncdv93,Swedish National Board of Fisheries,SE,Sweden,85,UNIBO,2006-2010,incoming
https://ror.org/000nes056,Swedish Transport Administration,SE,Sweden,1,UNIBO,2006-2010,incoming
https://ror.org/000nhpy59,Instituto de Neurociencias,ES,Spain,37,UNIBO,2006-2010,incoming
https://ror.org/000p29f53,Laboratoire d'Optique et Biosciences,FR,France,1,UNIBO,2006-2010,incoming
https://ror.org/000p4dw82,Hospital Universitario del Valle ESE,CO,Colombia,1,UNIBO,2006-2010,incoming
https://ror.org/000p7hm12,National Skin Centre,SG,Singapore,4,UNIBO,2006-2010,incoming
https://ror.org/000pfrh90,Baptist Hospital of Miami,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/000ph9k36,Universitäts-Kinderklinik Würzburg,DE,Germany,3,UNIBO,2006-2010,incoming
https://ror.org/000prga03,Guilin Medical University,CN,China,1,UNIBO,2006-2010,incoming
https://ror.org/000psgr90,Volodymyr Vynnychenko Central Ukrainian State University,UA,Ukraine,2,UNIBO,2006-2010,incoming
https://ror.org/000pvc513,Institut de Chimie de Nice,FR,France,5,UNIBO,2006-2010,incoming
https://ror.org/000q4gm66,Instituto de Biocomputación y Física de Sistemas Complejos,ES,Spain,35,UNIBO,2006-2010,incoming
