id,citing,cited,creation,is_citing_iris,is_cited_iris
oci:064207645-0610735176,omid:br/064207645,omid:br/0610735176,2022-06-28,true,false
oci:061402065931-0613066601,omid:br/061402065931,omid:br/0613066601,2022-06-30,true,true
oci:06260405907-06903346158,omid:br/06260405907,omid:br/06903346158,2022-06-28,true,false
oci:061702616952-0660398258,omid:br/061702616952,omid:br/0660398258,2022-06-28,false,true
oci:06801448990-06402513036,omid:br/06801448990,omid:br/06402513036,2022-06-28,true,false
oci:061702616779-06502253509,omid:br/061702616779,omid:br/06502253509,2022-06-30,false,true
oci:061702616816-06190299097,omid:br/061702616816,omid:br/06190299097,2022-06-30,true,false
oci:06901499356-062602276127,omid:br/06901499356,omid:br/062602276127,2022-06,true,false
oci:06901326456-0660484121,omid:br/06901326456,omid:br/0660484121,2022-06-28,false,true
oci:061402065931-06190686713,omid:br/061402065931,omid:br/06190686713,2022-06-30,true,false
oci:061402065931-06803976440,omid:br/061402065931,omid:br/06803976440,2022-06-30,true,false
oci:06602117402-061701447467,omid:br/06602117402,omid:br/061701447467,2022-06-30,false,true
oci:06203483198-061202120754,omid:br/06203483198,omid:br/061202120754,2022-06-28,false,true
oci:061601368859-061301080998,omid:br/061601368859,omid:br/061301080998,2022-06-30,true,false
oci:061702616860-06230795377,omid:br/061702616860,omid:br/06230795377,2022-06-29,true,false
oci:061302063377-0650466650,omid:br/061302063377,omid:br/0650466650,2022-07,false,true
oci:061301872142-061401863170,omid:br/061301872142,omid:br/061401863170,2022-06-28,false,true
oci:062203427037-061901297390,omid:br/062203427037,omid:br/061901297390,2022-09,false,true
oci:061702616816-06170568532,omid:br/061702616816,omid:br/06170568532,2022-06-30,true,false
oci:061402065931-06220343217,omid:br/061402065931,omid:br/06220343217,2022-06-30,true,false
oci:0640290571-0670153107,omid:br/0640290571,omid:br/0670153107,2022-11,true,false
oci:06230819243-0620656016,omid:br/06230819243,omid:br/0620656016,2022-06,false,true
oci:062103511100-061701214915,omid:br/062103511100,omid:br/061701214915,2022-12,true,false
oci:06260405907-062202985487,omid:br/06260405907,omid:br/062202985487,2022-06-28,true,false
oci:062303451926-06403470503,omid:br/062303451926,omid:br/06403470503,2022-06-30,false,true
oci:06801448990-06702160111,omid:br/06801448990,omid:br/06702160111,2022-06-28,true,false
oci:0634031974-0660786010,omid:br/0634031974,omid:br/0660786010,2022-10,false,true
oci:061401868410-06160273171,omid:br/061401868410,omid:br/06160273171,2022,false,true
oci:06110126134-06190616820,omid:br/06110126134,omid:br/06190616820,2022-09,false,true
oci:06901326477-06503019882,omid:br/06901326477,omid:br/06503019882,2022-06-28,true,false
oci:062503119989-06120487107,omid:br/062503119989,omid:br/06120487107,2022-06,false,true
oci:062103511100-061701215127,omid:br/062103511100,omid:br/061701215127,2022-12,true,false
oci:061301836997-062401513694,omid:br/061301836997,omid:br/062401513694,2022-12,false,true
oci:0620785802-061403122551,omid:br/0620785802,omid:br/061403122551,2022-06-28,false,true
oci:0640290571-061901210011,omid:br/0640290571,omid:br/061901210011,2022-11,true,false
